,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths
469,Isle of Man,United Kingdom,54.2361,-4.5481,1/23/20,0,0
470,Montserrat,United Kingdom,16.7425,-62.1874,1/23/20,0,0
471,,United Kingdom,55.3781,-3.4360000000000004,1/23/20,0,0
472,,Uruguay,-32.5228,-55.7658,1/23/20,0,0
473,,US,37.0902,-95.7129,1/23/20,1,0
474,,Uzbekistan,41.3775,64.5853,1/23/20,0,0
475,,Venezuela,6.4238,-66.5897,1/23/20,0,0
476,,Vietnam,16.0,108.0,1/23/20,2,0
477,,Zambia,-15.4167,28.2833,1/23/20,0,0
478,,Zimbabwe,-20.0,30.0,1/23/20,0,0
479,Diamond Princess,Canada,0.0,0.0,1/23/20,0,0
480,,Dominica,15.415,-61.371,1/23/20,0,0
481,,Grenada,12.1165,-61.679,1/23/20,0,0
482,,Mozambique,-18.665695,35.529562,1/23/20,0,0
483,,Syria,34.802075,38.99681500000001,1/23/20,0,0
484,,Timor-Leste,-8.874217,125.727539,1/23/20,0,0
485,,Belize,13.1939,-59.5432,1/23/20,0,0
486,Recovered,Canada,0.0,0.0,1/23/20,0,0
487,,Laos,19.85627,102.495496,1/23/20,0,0
488,,Libya,26.3351,17.228331,1/23/20,0,0
489,,West Bank and Gaza,31.9522,35.2332,1/23/20,0,0
490,,Guinea-Bissau,11.8037,-15.1804,1/23/20,0,0
491,,Mali,17.570692,-3.996166000000001,1/23/20,0,0
492,,Saint Kitts and Nevis,17.357822,-62.782998,1/23/20,0,0
493,Northwest Territories,Canada,64.8255,-124.8457,1/23/20,0,0
494,Yukon,Canada,64.2823,-135.0,1/23/20,0,0
495,,Kosovo,42.602636,20.902977,1/23/20,0,0
496,,Afghanistan,33.0,65.0,1/24/20,0,0
497,,Albania,41.1533,20.1683,1/24/20,0,0
498,,Algeria,28.0339,1.6596,1/24/20,0,0
499,,Andorra,42.5063,1.5218,1/24/20,0,0
500,,Angola,-11.2027,17.8739,1/24/20,0,0
501,,Antigua and Barbuda,17.0608,-61.7964,1/24/20,0,0
502,,Argentina,-38.4161,-63.6167,1/24/20,0,0
503,,Armenia,40.0691,45.0382,1/24/20,0,0
504,Australian Capital Territory,Australia,-35.4735,149.0124,1/24/20,0,0
505,New South Wales,Australia,-33.8688,151.2093,1/24/20,0,0
506,Northern Territory,Australia,-12.4634,130.8456,1/24/20,0,0
507,Queensland,Australia,-28.0167,153.4,1/24/20,0,0
508,South Australia,Australia,-34.9285,138.6007,1/24/20,0,0
509,Tasmania,Australia,-41.4545,145.9707,1/24/20,0,0
510,Victoria,Australia,-37.8136,144.9631,1/24/20,0,0
511,Western Australia,Australia,-31.9505,115.8605,1/24/20,0,0
512,,Austria,47.5162,14.5501,1/24/20,0,0
513,,Azerbaijan,40.1431,47.5769,1/24/20,0,0
514,,Bahamas,25.0343,-77.3963,1/24/20,0,0
515,,Bahrain,26.0275,50.55,1/24/20,0,0
516,,Bangladesh,23.685,90.3563,1/24/20,0,0
517,,Barbados,13.1939,-59.5432,1/24/20,0,0
518,,Belarus,53.7098,27.9534,1/24/20,0,0
519,,Belgium,50.8333,4.0,1/24/20,0,0
520,,Benin,9.3077,2.3158,1/24/20,0,0
521,,Bhutan,27.5142,90.4336,1/24/20,0,0
522,,Bolivia,-16.2902,-63.5887,1/24/20,0,0
523,,Bosnia and Herzegovina,43.9159,17.6791,1/24/20,0,0
524,,Brazil,-14.235,-51.9253,1/24/20,0,0
525,,Brunei,4.5353,114.7277,1/24/20,0,0
526,,Bulgaria,42.7339,25.4858,1/24/20,0,0
527,,Burkina Faso,12.2383,-1.5616,1/24/20,0,0
528,,Cabo Verde,16.5388,-23.0418,1/24/20,0,0
529,,Cambodia,11.55,104.9167,1/24/20,0,0
530,,Cameroon,3.848,11.5021,1/24/20,0,0
531,Alberta,Canada,53.9333,-116.5765,1/24/20,0,0
532,British Columbia,Canada,49.2827,-123.1207,1/24/20,0,0
533,Grand Princess,Canada,37.6489,-122.6655,1/24/20,0,0
534,Manitoba,Canada,53.7609,-98.8139,1/24/20,0,0
535,New Brunswick,Canada,46.5653,-66.4619,1/24/20,0,0
536,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/24/20,0,0
537,Nova Scotia,Canada,44.682,-63.7443,1/24/20,0,0
538,Ontario,Canada,51.2538,-85.3232,1/24/20,0,0
539,Prince Edward Island,Canada,46.5107,-63.4168,1/24/20,0,0
540,Quebec,Canada,52.9399,-73.5491,1/24/20,0,0
541,Saskatchewan,Canada,52.9399,-106.4509,1/24/20,0,0
542,,Central African Republic,6.6111,20.9394,1/24/20,0,0
543,,Chad,15.4542,18.7322,1/24/20,0,0
544,,Chile,-35.6751,-71.543,1/24/20,0,0
545,Anhui,China,31.8257,117.2264,1/24/20,15,0
546,Beijing,China,40.1824,116.4142,1/24/20,36,0
547,Chongqing,China,30.0572,107.874,1/24/20,27,0
548,Fujian,China,26.0789,117.9874,1/24/20,10,0
549,Gansu,China,37.8099,101.0583,1/24/20,2,0
550,Guangdong,China,23.3417,113.4244,1/24/20,53,0
551,Guangxi,China,23.8298,108.7881,1/24/20,23,0
552,Guizhou,China,26.8154,106.8748,1/24/20,3,0
553,Hainan,China,19.1959,109.7453,1/24/20,8,0
554,Hebei,China,39.549,116.1306,1/24/20,2,1
555,Heilongjiang,China,47.862,127.7615,1/24/20,4,1
556,Henan,China,33.882,113.614,1/24/20,9,0
557,Hong Kong,China,22.3,114.2,1/24/20,2,0
558,Hubei,China,30.9756,112.2707,1/24/20,549,24
559,Hunan,China,27.6104,111.7088,1/24/20,24,0
560,Inner Mongolia,China,44.0935,113.9448,1/24/20,1,0
561,Jiangsu,China,32.9711,119.455,1/24/20,9,0
562,Jiangxi,China,27.614,115.7221,1/24/20,18,0
563,Jilin,China,43.6661,126.1923,1/24/20,3,0
564,Liaoning,China,41.2956,122.6085,1/24/20,4,0
565,Macau,China,22.1667,113.55,1/24/20,2,0
566,Ningxia,China,37.2692,106.1655,1/24/20,2,0
567,Qinghai,China,35.7452,95.9956,1/24/20,0,0
568,Shaanxi,China,35.1917,108.8701,1/24/20,5,0
569,Shandong,China,36.3427,118.1498,1/24/20,15,0
570,Shanghai,China,31.202,121.4491,1/24/20,20,0
571,Shanxi,China,37.5777,112.2922,1/24/20,1,0
572,Sichuan,China,30.6171,102.7103,1/24/20,15,0
573,Tianjin,China,39.3054,117.323,1/24/20,8,0
574,Tibet,China,31.6927,88.0924,1/24/20,0,0
575,Xinjiang,China,41.1129,85.2401,1/24/20,2,0
576,Yunnan,China,24.974,101.487,1/24/20,5,0
577,Zhejiang,China,29.1832,120.0934,1/24/20,43,0
578,,Colombia,4.5709,-74.2973,1/24/20,0,0
579,,Congo (Brazzaville),-4.0383,21.7587,1/24/20,0,0
580,,Congo (Kinshasa),-4.0383,21.7587,1/24/20,0,0
581,,Costa Rica,9.7489,-83.7534,1/24/20,0,0
582,,Cote d'Ivoire,7.54,-5.5471,1/24/20,0,0
583,,Croatia,45.1,15.2,1/24/20,0,0
584,,Diamond Princess,0.0,0.0,1/24/20,0,0
585,,Cuba,22.0,-80.0,1/24/20,0,0
586,,Cyprus,35.1264,33.4299,1/24/20,0,0
587,,Czechia,49.8175,15.473,1/24/20,0,0
588,Faroe Islands,Denmark,61.8926,-6.9118,1/24/20,0,0
589,Greenland,Denmark,71.7069,-42.6043,1/24/20,0,0
590,,Denmark,56.2639,9.5018,1/24/20,0,0
591,,Djibouti,11.8251,42.5903,1/24/20,0,0
592,,Dominican Republic,18.7357,-70.1627,1/24/20,0,0
593,,Ecuador,-1.8312,-78.1834,1/24/20,0,0
594,,Egypt,26.0,30.0,1/24/20,0,0
595,,El Salvador,13.7942,-88.8965,1/24/20,0,0
596,,Equatorial Guinea,1.5,10.0,1/24/20,0,0
597,,Eritrea,15.1794,39.7823,1/24/20,0,0
598,,Estonia,58.5953,25.0136,1/24/20,0,0
599,,Eswatini,-26.5225,31.4659,1/24/20,0,0
600,,Ethiopia,9.145,40.4897,1/24/20,0,0
601,,Fiji,-17.7134,178.065,1/24/20,0,0
602,,Finland,64.0,26.0,1/24/20,0,0
603,French Guiana,France,3.9339,-53.1258,1/24/20,0,0
604,French Polynesia,France,-17.6797,149.4068,1/24/20,0,0
605,Guadeloupe,France,16.25,-61.5833,1/24/20,0,0
606,Mayotte,France,-12.8275,45.1662,1/24/20,0,0
607,New Caledonia,France,-20.9043,165.618,1/24/20,0,0
608,Reunion,France,-21.1351,55.2471,1/24/20,0,0
609,Saint Barthelemy,France,17.9,-62.8333,1/24/20,0,0
610,St Martin,France,18.0708,-63.0501,1/24/20,0,0
611,Martinique,France,14.6415,-61.0242,1/24/20,0,0
612,,France,46.2276,2.2137,1/24/20,2,0
613,,Gabon,-0.8037,11.6094,1/24/20,0,0
614,,Gambia,13.4432,-15.3101,1/24/20,0,0
615,,Georgia,42.3154,43.3569,1/24/20,0,0
616,,Germany,51.0,9.0,1/24/20,0,0
617,,Ghana,7.9465,-1.0232,1/24/20,0,0
618,,Greece,39.0742,21.8243,1/24/20,0,0
619,,Guatemala,15.7835,-90.2308,1/24/20,0,0
620,,Guinea,9.9456,-9.6966,1/24/20,0,0
621,,Guyana,5.0,-58.75,1/24/20,0,0
622,,Haiti,18.9712,-72.2852,1/24/20,0,0
623,,Holy See,41.9029,12.4534,1/24/20,0,0
624,,Honduras,15.2,-86.2419,1/24/20,0,0
625,,Hungary,47.1625,19.5033,1/24/20,0,0
626,,Iceland,64.9631,-19.0208,1/24/20,0,0
627,,India,21.0,78.0,1/24/20,0,0
628,,Indonesia,-0.7893,113.9213,1/24/20,0,0
629,,Iran,32.0,53.0,1/24/20,0,0
630,,Iraq,33.0,44.0,1/24/20,0,0
631,,Ireland,53.1424,-7.6921,1/24/20,0,0
632,,Israel,31.0,35.0,1/24/20,0,0
633,,Italy,43.0,12.0,1/24/20,0,0
634,,Jamaica,18.1096,-77.2975,1/24/20,0,0
635,,Japan,36.0,138.0,1/24/20,2,0
636,,Jordan,31.24,36.51,1/24/20,0,0
637,,Kazakhstan,48.0196,66.9237,1/24/20,0,0
638,,Kenya,-0.0236,37.9062,1/24/20,0,0
639,,"Korea, South",36.0,128.0,1/24/20,2,0
640,,Kuwait,29.5,47.75,1/24/20,0,0
641,,Kyrgyzstan,41.2044,74.7661,1/24/20,0,0
642,,Latvia,56.8796,24.6032,1/24/20,0,0
643,,Lebanon,33.8547,35.8623,1/24/20,0,0
644,,Liberia,6.4281,-9.4295,1/24/20,0,0
645,,Liechtenstein,47.14,9.55,1/24/20,0,0
646,,Lithuania,55.1694,23.8813,1/24/20,0,0
647,,Luxembourg,49.8153,6.1296,1/24/20,0,0
648,,Madagascar,-18.7669,46.8691,1/24/20,0,0
649,,Malaysia,2.5,112.5,1/24/20,0,0
650,,Maldives,3.2028,73.2207,1/24/20,0,0
651,,Malta,35.9375,14.3754,1/24/20,0,0
652,,Mauritania,21.0079,10.9408,1/24/20,0,0
653,,Mauritius,-20.2,57.5,1/24/20,0,0
654,,Mexico,23.6345,-102.5528,1/24/20,0,0
655,,Moldova,47.4116,28.3699,1/24/20,0,0
656,,Monaco,43.7333,7.4167,1/24/20,0,0
657,,Mongolia,46.8625,103.8467,1/24/20,0,0
658,,Montenegro,42.5,19.3,1/24/20,0,0
659,,Morocco,31.7917,-7.0926,1/24/20,0,0
660,,Namibia,-22.9576,18.4904,1/24/20,0,0
661,,Nepal,28.1667,84.25,1/24/20,0,0
662,Aruba,Netherlands,12.5186,-70.0358,1/24/20,0,0
663,Curacao,Netherlands,12.1696,-68.99,1/24/20,0,0
664,Sint Maarten,Netherlands,18.0425,-63.0548,1/24/20,0,0
665,,Netherlands,52.1326,5.2913,1/24/20,0,0
666,,New Zealand,-40.9006,174.886,1/24/20,0,0
667,,Nicaragua,12.8654,-85.2072,1/24/20,0,0
668,,Niger,17.6078,8.0817,1/24/20,0,0
669,,Nigeria,9.082,8.6753,1/24/20,0,0
670,,North Macedonia,41.6086,21.7453,1/24/20,0,0
671,,Norway,60.472,8.4689,1/24/20,0,0
672,,Oman,21.0,57.0,1/24/20,0,0
673,,Pakistan,30.3753,69.3451,1/24/20,0,0
674,,Panama,8.538,-80.7821,1/24/20,0,0
675,,Papua New Guinea,-6.315,143.9555,1/24/20,0,0
676,,Paraguay,-23.4425,-58.4438,1/24/20,0,0
677,,Peru,-9.19,-75.0152,1/24/20,0,0
678,,Philippines,13.0,122.0,1/24/20,0,0
679,,Poland,51.9194,19.1451,1/24/20,0,0
680,,Portugal,39.3999,-8.2245,1/24/20,0,0
681,,Qatar,25.3548,51.1839,1/24/20,0,0
682,,Romania,45.9432,24.9668,1/24/20,0,0
683,,Russia,60.0,90.0,1/24/20,0,0
684,,Rwanda,-1.9403,29.8739,1/24/20,0,0
685,,Saint Lucia,13.9094,-60.9789,1/24/20,0,0
686,,Saint Vincent and the Grenadines,12.9843,-61.2872,1/24/20,0,0
687,,San Marino,43.9424,12.4578,1/24/20,0,0
688,,Saudi Arabia,24.0,45.0,1/24/20,0,0
689,,Senegal,14.4974,-14.4524,1/24/20,0,0
690,,Serbia,44.0165,21.0059,1/24/20,0,0
691,,Seychelles,-4.6796,55.492,1/24/20,0,0
692,,Singapore,1.2833,103.8333,1/24/20,3,0
693,,Slovakia,48.669,19.699,1/24/20,0,0
694,,Slovenia,46.1512,14.9955,1/24/20,0,0
695,,Somalia,5.1521,46.1996,1/24/20,0,0
696,,South Africa,-30.5595,22.9375,1/24/20,0,0
697,,Spain,40.0,-4.0,1/24/20,0,0
698,,Sri Lanka,7.0,81.0,1/24/20,0,0
699,,Sudan,12.8628,30.2176,1/24/20,0,0
700,,Suriname,3.9193,-56.0278,1/24/20,0,0
701,,Sweden,63.0,16.0,1/24/20,0,0
702,,Switzerland,46.8182,8.2275,1/24/20,0,0
703,,Taiwan*,23.7,121.0,1/24/20,3,0
704,,Tanzania,-6.369,34.8888,1/24/20,0,0
705,,Thailand,15.0,101.0,1/24/20,5,0
706,,Togo,8.6195,0.8248,1/24/20,0,0
707,,Trinidad and Tobago,10.6918,-61.2225,1/24/20,0,0
708,,Tunisia,34.0,9.0,1/24/20,0,0
709,,Turkey,38.9637,35.2433,1/24/20,0,0
710,,Uganda,1.0,32.0,1/24/20,0,0
711,,Ukraine,48.3794,31.1656,1/24/20,0,0
712,,United Arab Emirates,24.0,54.0,1/24/20,0,0
713,Bermuda,United Kingdom,32.3078,-64.7505,1/24/20,0,0
714,Cayman Islands,United Kingdom,19.3133,-81.2546,1/24/20,0,0
715,Channel Islands,United Kingdom,49.3723,-2.3644,1/24/20,0,0
716,Gibraltar,United Kingdom,36.1408,-5.3536,1/24/20,0,0
717,Isle of Man,United Kingdom,54.2361,-4.5481,1/24/20,0,0
718,Montserrat,United Kingdom,16.7425,-62.1874,1/24/20,0,0
719,,United Kingdom,55.3781,-3.4360000000000004,1/24/20,0,0
720,,Uruguay,-32.5228,-55.7658,1/24/20,0,0
721,,US,37.0902,-95.7129,1/24/20,2,0
722,,Uzbekistan,41.3775,64.5853,1/24/20,0,0
723,,Venezuela,6.4238,-66.5897,1/24/20,0,0
724,,Vietnam,16.0,108.0,1/24/20,2,0
725,,Zambia,-15.4167,28.2833,1/24/20,0,0
726,,Zimbabwe,-20.0,30.0,1/24/20,0,0
727,Diamond Princess,Canada,0.0,0.0,1/24/20,0,0
728,,Dominica,15.415,-61.371,1/24/20,0,0
729,,Grenada,12.1165,-61.679,1/24/20,0,0
730,,Mozambique,-18.665695,35.529562,1/24/20,0,0
731,,Syria,34.802075,38.99681500000001,1/24/20,0,0
732,,Timor-Leste,-8.874217,125.727539,1/24/20,0,0
733,,Belize,13.1939,-59.5432,1/24/20,0,0
734,Recovered,Canada,0.0,0.0,1/24/20,0,0
735,,Laos,19.85627,102.495496,1/24/20,0,0
736,,Libya,26.3351,17.228331,1/24/20,0,0
737,,West Bank and Gaza,31.9522,35.2332,1/24/20,0,0
738,,Guinea-Bissau,11.8037,-15.1804,1/24/20,0,0
739,,Mali,17.570692,-3.996166000000001,1/24/20,0,0
740,,Saint Kitts and Nevis,17.357822,-62.782998,1/24/20,0,0
741,Northwest Territories,Canada,64.8255,-124.8457,1/24/20,0,0
742,Yukon,Canada,64.2823,-135.0,1/24/20,0,0
743,,Kosovo,42.602636,20.902977,1/24/20,0,0
744,,Afghanistan,33.0,65.0,1/25/20,0,0
745,,Albania,41.1533,20.1683,1/25/20,0,0
746,,Algeria,28.0339,1.6596,1/25/20,0,0
747,,Andorra,42.5063,1.5218,1/25/20,0,0
748,,Angola,-11.2027,17.8739,1/25/20,0,0
749,,Antigua and Barbuda,17.0608,-61.7964,1/25/20,0,0
750,,Argentina,-38.4161,-63.6167,1/25/20,0,0
751,,Armenia,40.0691,45.0382,1/25/20,0,0
752,Australian Capital Territory,Australia,-35.4735,149.0124,1/25/20,0,0
753,New South Wales,Australia,-33.8688,151.2093,1/25/20,0,0
754,Northern Territory,Australia,-12.4634,130.8456,1/25/20,0,0
755,Queensland,Australia,-28.0167,153.4,1/25/20,0,0
756,South Australia,Australia,-34.9285,138.6007,1/25/20,0,0
757,Tasmania,Australia,-41.4545,145.9707,1/25/20,0,0
758,Victoria,Australia,-37.8136,144.9631,1/25/20,0,0
759,Western Australia,Australia,-31.9505,115.8605,1/25/20,0,0
760,,Austria,47.5162,14.5501,1/25/20,0,0
761,,Azerbaijan,40.1431,47.5769,1/25/20,0,0
762,,Bahamas,25.0343,-77.3963,1/25/20,0,0
763,,Bahrain,26.0275,50.55,1/25/20,0,0
764,,Bangladesh,23.685,90.3563,1/25/20,0,0
765,,Barbados,13.1939,-59.5432,1/25/20,0,0
766,,Belarus,53.7098,27.9534,1/25/20,0,0
767,,Belgium,50.8333,4.0,1/25/20,0,0
768,,Benin,9.3077,2.3158,1/25/20,0,0
769,,Bhutan,27.5142,90.4336,1/25/20,0,0
770,,Bolivia,-16.2902,-63.5887,1/25/20,0,0
771,,Bosnia and Herzegovina,43.9159,17.6791,1/25/20,0,0
772,,Brazil,-14.235,-51.9253,1/25/20,0,0
773,,Brunei,4.5353,114.7277,1/25/20,0,0
774,,Bulgaria,42.7339,25.4858,1/25/20,0,0
775,,Burkina Faso,12.2383,-1.5616,1/25/20,0,0
776,,Cabo Verde,16.5388,-23.0418,1/25/20,0,0
777,,Cambodia,11.55,104.9167,1/25/20,0,0
778,,Cameroon,3.848,11.5021,1/25/20,0,0
779,Alberta,Canada,53.9333,-116.5765,1/25/20,0,0
780,British Columbia,Canada,49.2827,-123.1207,1/25/20,0,0
781,Grand Princess,Canada,37.6489,-122.6655,1/25/20,0,0
782,Manitoba,Canada,53.7609,-98.8139,1/25/20,0,0
783,New Brunswick,Canada,46.5653,-66.4619,1/25/20,0,0
784,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/25/20,0,0
785,Nova Scotia,Canada,44.682,-63.7443,1/25/20,0,0
786,Ontario,Canada,51.2538,-85.3232,1/25/20,0,0
787,Prince Edward Island,Canada,46.5107,-63.4168,1/25/20,0,0
788,Quebec,Canada,52.9399,-73.5491,1/25/20,0,0
789,Saskatchewan,Canada,52.9399,-106.4509,1/25/20,0,0
790,,Central African Republic,6.6111,20.9394,1/25/20,0,0
791,,Chad,15.4542,18.7322,1/25/20,0,0
792,,Chile,-35.6751,-71.543,1/25/20,0,0
793,Anhui,China,31.8257,117.2264,1/25/20,39,0
794,Beijing,China,40.1824,116.4142,1/25/20,41,0
795,Chongqing,China,30.0572,107.874,1/25/20,57,0
796,Fujian,China,26.0789,117.9874,1/25/20,18,0
797,Gansu,China,37.8099,101.0583,1/25/20,4,0
798,Guangdong,China,23.3417,113.4244,1/25/20,78,0
799,Guangxi,China,23.8298,108.7881,1/25/20,23,0
800,Guizhou,China,26.8154,106.8748,1/25/20,4,0
801,Hainan,China,19.1959,109.7453,1/25/20,19,0
802,Hebei,China,39.549,116.1306,1/25/20,8,1
803,Heilongjiang,China,47.862,127.7615,1/25/20,9,1
804,Henan,China,33.882,113.614,1/25/20,32,0
805,Hong Kong,China,22.3,114.2,1/25/20,5,0
806,Hubei,China,30.9756,112.2707,1/25/20,761,40
807,Hunan,China,27.6104,111.7088,1/25/20,43,0
808,Inner Mongolia,China,44.0935,113.9448,1/25/20,7,0
809,Jiangsu,China,32.9711,119.455,1/25/20,18,0
810,Jiangxi,China,27.614,115.7221,1/25/20,18,0
811,Jilin,China,43.6661,126.1923,1/25/20,4,0
812,Liaoning,China,41.2956,122.6085,1/25/20,17,0
813,Macau,China,22.1667,113.55,1/25/20,2,0
814,Ningxia,China,37.2692,106.1655,1/25/20,3,0
815,Qinghai,China,35.7452,95.9956,1/25/20,1,0
816,Shaanxi,China,35.1917,108.8701,1/25/20,15,0
817,Shandong,China,36.3427,118.1498,1/25/20,27,0
818,Shanghai,China,31.202,121.4491,1/25/20,33,0
819,Shanxi,China,37.5777,112.2922,1/25/20,6,0
820,Sichuan,China,30.6171,102.7103,1/25/20,28,0
821,Tianjin,China,39.3054,117.323,1/25/20,10,0
822,Tibet,China,31.6927,88.0924,1/25/20,0,0
823,Xinjiang,China,41.1129,85.2401,1/25/20,3,0
824,Yunnan,China,24.974,101.487,1/25/20,11,0
825,Zhejiang,China,29.1832,120.0934,1/25/20,62,0
826,,Colombia,4.5709,-74.2973,1/25/20,0,0
827,,Congo (Brazzaville),-4.0383,21.7587,1/25/20,0,0
828,,Congo (Kinshasa),-4.0383,21.7587,1/25/20,0,0
829,,Costa Rica,9.7489,-83.7534,1/25/20,0,0
830,,Cote d'Ivoire,7.54,-5.5471,1/25/20,0,0
831,,Croatia,45.1,15.2,1/25/20,0,0
832,,Diamond Princess,0.0,0.0,1/25/20,0,0
833,,Cuba,22.0,-80.0,1/25/20,0,0
834,,Cyprus,35.1264,33.4299,1/25/20,0,0
835,,Czechia,49.8175,15.473,1/25/20,0,0
836,Faroe Islands,Denmark,61.8926,-6.9118,1/25/20,0,0
837,Greenland,Denmark,71.7069,-42.6043,1/25/20,0,0
838,,Denmark,56.2639,9.5018,1/25/20,0,0
839,,Djibouti,11.8251,42.5903,1/25/20,0,0
840,,Dominican Republic,18.7357,-70.1627,1/25/20,0,0
841,,Ecuador,-1.8312,-78.1834,1/25/20,0,0
842,,Egypt,26.0,30.0,1/25/20,0,0
843,,El Salvador,13.7942,-88.8965,1/25/20,0,0
844,,Equatorial Guinea,1.5,10.0,1/25/20,0,0
845,,Eritrea,15.1794,39.7823,1/25/20,0,0
846,,Estonia,58.5953,25.0136,1/25/20,0,0
847,,Eswatini,-26.5225,31.4659,1/25/20,0,0
848,,Ethiopia,9.145,40.4897,1/25/20,0,0
849,,Fiji,-17.7134,178.065,1/25/20,0,0
850,,Finland,64.0,26.0,1/25/20,0,0
851,French Guiana,France,3.9339,-53.1258,1/25/20,0,0
852,French Polynesia,France,-17.6797,149.4068,1/25/20,0,0
853,Guadeloupe,France,16.25,-61.5833,1/25/20,0,0
854,Mayotte,France,-12.8275,45.1662,1/25/20,0,0
855,New Caledonia,France,-20.9043,165.618,1/25/20,0,0
856,Reunion,France,-21.1351,55.2471,1/25/20,0,0
857,Saint Barthelemy,France,17.9,-62.8333,1/25/20,0,0
858,St Martin,France,18.0708,-63.0501,1/25/20,0,0
859,Martinique,France,14.6415,-61.0242,1/25/20,0,0
860,,France,46.2276,2.2137,1/25/20,3,0
861,,Gabon,-0.8037,11.6094,1/25/20,0,0
862,,Gambia,13.4432,-15.3101,1/25/20,0,0
863,,Georgia,42.3154,43.3569,1/25/20,0,0
864,,Germany,51.0,9.0,1/25/20,0,0
865,,Ghana,7.9465,-1.0232,1/25/20,0,0
866,,Greece,39.0742,21.8243,1/25/20,0,0
867,,Guatemala,15.7835,-90.2308,1/25/20,0,0
868,,Guinea,9.9456,-9.6966,1/25/20,0,0
869,,Guyana,5.0,-58.75,1/25/20,0,0
870,,Haiti,18.9712,-72.2852,1/25/20,0,0
871,,Holy See,41.9029,12.4534,1/25/20,0,0
872,,Honduras,15.2,-86.2419,1/25/20,0,0
873,,Hungary,47.1625,19.5033,1/25/20,0,0
874,,Iceland,64.9631,-19.0208,1/25/20,0,0
875,,India,21.0,78.0,1/25/20,0,0
876,,Indonesia,-0.7893,113.9213,1/25/20,0,0
877,,Iran,32.0,53.0,1/25/20,0,0
878,,Iraq,33.0,44.0,1/25/20,0,0
879,,Ireland,53.1424,-7.6921,1/25/20,0,0
880,,Israel,31.0,35.0,1/25/20,0,0
881,,Italy,43.0,12.0,1/25/20,0,0
882,,Jamaica,18.1096,-77.2975,1/25/20,0,0
883,,Japan,36.0,138.0,1/25/20,2,0
884,,Jordan,31.24,36.51,1/25/20,0,0
885,,Kazakhstan,48.0196,66.9237,1/25/20,0,0
886,,Kenya,-0.0236,37.9062,1/25/20,0,0
887,,"Korea, South",36.0,128.0,1/25/20,2,0
888,,Kuwait,29.5,47.75,1/25/20,0,0
889,,Kyrgyzstan,41.2044,74.7661,1/25/20,0,0
890,,Latvia,56.8796,24.6032,1/25/20,0,0
891,,Lebanon,33.8547,35.8623,1/25/20,0,0
892,,Liberia,6.4281,-9.4295,1/25/20,0,0
893,,Liechtenstein,47.14,9.55,1/25/20,0,0
894,,Lithuania,55.1694,23.8813,1/25/20,0,0
895,,Luxembourg,49.8153,6.1296,1/25/20,0,0
896,,Madagascar,-18.7669,46.8691,1/25/20,0,0
897,,Malaysia,2.5,112.5,1/25/20,3,0
898,,Maldives,3.2028,73.2207,1/25/20,0,0
899,,Malta,35.9375,14.3754,1/25/20,0,0
900,,Mauritania,21.0079,10.9408,1/25/20,0,0
901,,Mauritius,-20.2,57.5,1/25/20,0,0
902,,Mexico,23.6345,-102.5528,1/25/20,0,0
903,,Moldova,47.4116,28.3699,1/25/20,0,0
904,,Monaco,43.7333,7.4167,1/25/20,0,0
905,,Mongolia,46.8625,103.8467,1/25/20,0,0
906,,Montenegro,42.5,19.3,1/25/20,0,0
907,,Morocco,31.7917,-7.0926,1/25/20,0,0
908,,Namibia,-22.9576,18.4904,1/25/20,0,0
909,,Nepal,28.1667,84.25,1/25/20,1,0
910,Aruba,Netherlands,12.5186,-70.0358,1/25/20,0,0
911,Curacao,Netherlands,12.1696,-68.99,1/25/20,0,0
912,Sint Maarten,Netherlands,18.0425,-63.0548,1/25/20,0,0
913,,Netherlands,52.1326,5.2913,1/25/20,0,0
914,,New Zealand,-40.9006,174.886,1/25/20,0,0
915,,Nicaragua,12.8654,-85.2072,1/25/20,0,0
916,,Niger,17.6078,8.0817,1/25/20,0,0
917,,Nigeria,9.082,8.6753,1/25/20,0,0
918,,North Macedonia,41.6086,21.7453,1/25/20,0,0
919,,Norway,60.472,8.4689,1/25/20,0,0
920,,Oman,21.0,57.0,1/25/20,0,0
921,,Pakistan,30.3753,69.3451,1/25/20,0,0
922,,Panama,8.538,-80.7821,1/25/20,0,0
923,,Papua New Guinea,-6.315,143.9555,1/25/20,0,0
924,,Paraguay,-23.4425,-58.4438,1/25/20,0,0
925,,Peru,-9.19,-75.0152,1/25/20,0,0
926,,Philippines,13.0,122.0,1/25/20,0,0
927,,Poland,51.9194,19.1451,1/25/20,0,0
928,,Portugal,39.3999,-8.2245,1/25/20,0,0
929,,Qatar,25.3548,51.1839,1/25/20,0,0
930,,Romania,45.9432,24.9668,1/25/20,0,0
931,,Russia,60.0,90.0,1/25/20,0,0
932,,Rwanda,-1.9403,29.8739,1/25/20,0,0
933,,Saint Lucia,13.9094,-60.9789,1/25/20,0,0
934,,Saint Vincent and the Grenadines,12.9843,-61.2872,1/25/20,0,0
935,,San Marino,43.9424,12.4578,1/25/20,0,0
936,,Saudi Arabia,24.0,45.0,1/25/20,0,0
937,,Senegal,14.4974,-14.4524,1/25/20,0,0
